otu_id	Phylum
OTU_14834	Actinobacteria
OTU_18567	Proteobacteria
OTU_14402	Actinobacteria
OTU_14822	Proteobacteria
OTU_16757	Bacteroidetes
OTU_15154	Proteobacteria
OTU_7054	Firmicutes
OTU_1196	Proteobacteria
OTU_18954	Bacteroidetes
OTU_14839	Proteobacteria
OTU_13797	Actinobacteria
OTU_11245	Proteobacteria
OTU_19706	Proteobacteria
OTU_19511	Proteobacteria
OTU_19108	Actinobacteria
OTU_4555	Actinobacteria
OTU_19383	Proteobacteria
OTU_18240	Proteobacteria
OTU_10942	Actinobacteria
OTU_4035	Proteobacteria
OTU_5475	Bacteroidetes
OTU_15151	Actinobacteria
OTU_18588	Actinobacteria
OTU_15877	Firmicutes
OTU_19673	Actinobacteria
OTU_19937	Actinobacteria
OTU_19482	Bacteroidetes
OTU_12773	Proteobacteria
OTU_3802	Proteobacteria
OTU_18407	Actinobacteria
OTU_220	Actinobacteria
OTU_18945	Proteobacteria
OTU_333	Armatimonadetes
OTU_19245	Proteobacteria
OTU_11920	Bacteroidetes
OTU_14820	Acidobacteria
OTU_2324	Bacteroidetes
OTU_17382	Actinobacteria
OTU_15891	Cyanobacteria
OTU_18209	Acidobacteria
OTU_16101	Bacteroidetes
OTU_15808	Actinobacteria
OTU_9086	Acidobacteria
OTU_15529	Proteobacteria
OTU_3497	Proteobacteria
OTU_13953	Proteobacteria
OTU_14928	Actinobacteria
OTU_18468	Actinobacteria
OTU_17863	Actinobacteria
OTU_14830	Firmicutes
OTU_14824	Actinobacteria
OTU_14747	Acidobacteria
OTU_13788	Proteobacteria
OTU_14293	Proteobacteria
OTU_16786	Proteobacteria
OTU_14813	Proteobacteria
OTU_4362	Proteobacteria
OTU_14450	Acidobacteria
OTU_467	Actinobacteria
OTU_19189	Proteobacteria
OTU_10317	Acidobacteria
OTU_3327	Bacteroidetes
OTU_14816	Acidobacteria
OTU_19859	Verrucomicrobia
OTU_1460	Firmicutes
OTU_13230	Gemmatimonadetes
OTU_9309	Acidobacteria
OTU_3106	Bacteroidetes
OTU_14431	Proteobacteria
OTU_19297	Proteobacteria
OTU_13390	Bacteroidetes
OTU_19047	Firmicutes
OTU_8809	Proteobacteria
OTU_14814	Acidobacteria
OTU_10839	Bacteroidetes
OTU_14876	Firmicutes
OTU_14829	Proteobacteria
OTU_3149	Acidobacteria
OTU_2168	Firmicutes
OTU_3613	Bacteroidetes
OTU_13635	Proteobacteria
OTU_14586	Bacteroidetes
OTU_16467	Acidobacteria
OTU_16873	Actinobacteria
OTU_9926	Proteobacteria
OTU_3821	Proteobacteria
OTU_8660	Gemmatimonadetes
OTU_7481	Acidobacteria
OTU_14836	Bacteroidetes
OTU_878	Actinobacteria
OTU_773	Bacteroidetes
OTU_1089	Bacteroidetes
OTU_18314	Bacteroidetes
OTU_6688	Actinobacteria
OTU_11102	Acidobacteria
OTU_8055	Proteobacteria
OTU_506	Actinobacteria
OTU_636	Bacteroidetes
OTU_13052	Verrucomicrobia
OTU_13524	Acidobacteria
OTU_6144	Bacteroidetes
OTU_14790	Actinobacteria
OTU_1422	Proteobacteria
OTU_13874	Verrucomicrobia
OTU_12803	Actinobacteria
OTU_18539	Bacteroidetes
OTU_19786	Chloroflexi
OTU_2279	Cyanobacteria
OTU_15667	Acidobacteria
OTU_6613	Actinobacteria
OTU_18651	Actinobacteria
OTU_9848	Proteobacteria
OTU_13355	Actinobacteria
OTU_13519	Proteobacteria
OTU_331	Bacteroidetes
OTU_19916	Actinobacteria
OTU_6457	unclassified
OTU_6024	Proteobacteria
OTU_14844	Proteobacteria
OTU_18380	Actinobacteria
OTU_14780	Actinobacteria
OTU_20070	Actinobacteria
OTU_19960	Actinobacteria
OTU_12223	Proteobacteria
OTU_18927	Firmicutes
OTU_19093	Actinobacteria
OTU_11949	Actinobacteria
OTU_7118	Proteobacteria
OTU_16233	Actinobacteria
