sample_id	soil	accession	fraction
D1	M21	Col-0	E
D2	M21	Col-0	E
D3	M21	Col-0	E
D10	M21	Ler-0	E
D57	C21	Col-0	E
D58	C21	Col-0	E
D86	C21	Ler-0	E
D194	C21	Col-0	R
D195	C21	Col-0	R
D196	C21	Col-0	R
D197	C21	Col-0	R
D198	C21	Col-0	R
D214	C21	Ler-0	R
D215	C21	Ler-0	R
D216	C21	Ler-0	R
D217	C21	Soil	Soil
D218	C21	Soil	Soil
D219	C21	Soil	Soil
D220	C21	Soil	Soil
D221	C21	Soil	Soil
D222	C21	Soil	Soil
D223	C21	Soil	Soil
D224	C21	Soil	Soil
D258	M21	Col-0	E
D259	M21	Col-0	E
D260	M21	Col-0	E
D272	M21	Ler-0	E
D273	M21	Ler-0	E
D274	M21	Ler-0	E
D275	M21	Ler-0	E
D276	M21	Ler-0	E
D410	M21	Soil	Soil
D411	M21	Soil	Soil
D412	M21	Soil	Soil
D413	M21	Soil	Soil
D414	M21	Soil	Soil
D415	M21	Soil	Soil
D416	M21	Soil	Soil
D417	M21	Soil	Soil
D418	M21	Soil	Soil
D419	M21	Soil	Soil
D420	M21	Col-0	R
D421	M21	Col-0	R
D422	M21	Col-0	R
D423	M21	Col-0	R
D424	M21	Col-0	R
D425	M21	Col-0	R
D426	M21	Col-0	R
D427	M21	Col-0	R
D428	M21	Col-0	R
D429	M21	Col-0	R
D447	M21	Ler-0	R
D448	M21	Ler-0	R
D449	M21	Ler-0	R
D450	M21	Ler-0	R
D451	M21	Ler-0	R
D452	M21	Ler-0	R
D453	M21	Ler-0	R
D454	M21	Ler-0	R
D455	M21	Ler-0	R
D456	M21	Ler-0	R
D678	C21	Col-0	E
D679	C21	Col-0	E
D680	C21	Col-0	E
D681	C21	Col-0	E
D682	C21	Col-0	E
D1045	C21	Ler-0	E
D1046	C21	Ler-0	E
D1047	C21	Ler-0	E
